,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,59.0,72,0,6.91,CL,1612881975
1,Kumul,42.8,93.45,34.59,76,100,3.0,CN,1612881975
2,Neuquén,-38.9516,-68.0591,75.2,43,0,9.22,AR,1612881765
3,Doha,25.2867,51.5333,73.4,56,0,9.22,QA,1612881862
4,Upernavik,72.7868,-56.1549,11.86,77,2,3.18,GL,1612881975
5,Adrar,20.5022,-10.0711,80.17,14,0,10.94,MR,1612881975
6,Hilo,19.7297,-155.09,64.4,63,1,6.91,US,1612881768
7,New Norfolk,-42.7826,147.0587,52.0,66,90,1.1,AU,1612881975
8,Saskylakh,71.9167,114.0833,-24.92,81,0,7.96,RU,1612881975
9,Gīdam,18.9833,81.4,64.31,28,8,0.78,IN,1612881975
10,Kapaa,22.0752,-159.319,66.2,63,75,12.66,US,1612881975
11,Agadez,19.75,10.25,85.59,11,87,9.4,NE,1612881975
12,Yellowknife,62.456,-114.3525,-20.0,69,90,20.71,CA,1612881806
13,Hofn,64.2539,-15.2082,33.71,87,100,8.3,IS,1612881976
14,Bogorodskoye,56.55,37.8833,8.24,93,100,6.89,RU,1612881976
15,Barrow,71.2906,-156.7887,-31.0,85,1,11.5,US,1612881976
16,San Andrés,12.5847,-81.7006,82.4,74,40,11.5,CO,1612881945
17,Batabanó,22.7164,-82.2881,75.2,83,20,6.91,CU,1612881976
18,Ribeira Grande,38.5167,-28.7,62.6,94,75,26.46,PT,1612881976
19,Cape Town,-33.9258,18.4232,81.0,64,20,32.21,ZA,1612881743
20,Ostrowiec Świętokrzyski,50.9294,21.3853,26.01,88,100,3.27,PL,1612881976
21,Mahébourg,-20.4081,57.7,78.8,89,75,12.15,MU,1612881976
22,Hobart,-42.8794,147.3294,52.0,71,90,4.43,AU,1612881768
23,Waddān,29.1614,16.139,75.22,17,0,9.33,LY,1612881976
24,Rikitea,-23.1203,-134.9692,77.99,71,21,5.68,PF,1612881976
25,Kathu,7.9178,98.3332,87.01,78,40,3.44,TH,1612881976
26,Butaritari,3.0707,172.7902,81.07,82,22,16.93,KI,1612881977
27,Carnarvon,-24.8667,113.6333,77.0,94,0,21.85,AU,1612881978
28,Thompson,55.7435,-97.8558,-29.2,68,75,5.75,CA,1612881979
29,Mataura,-46.1927,168.8643,47.71,96,95,3.22,NZ,1612881980
